#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 03 15 53 999 99.0 99.0  1.46  9.09  6.04  84 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 03 16 23 999 99.0 99.0  1.43 10.53  4.72  71 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 03 16 53 999 99.0 99.0  1.60  4.00  4.68 282 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 17 23 999 99.0 99.0  1.45 10.53  4.47  88 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 17 53 999 99.0 99.0  1.32  8.33  4.44  78 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 18 23 999 99.0 99.0  1.23  8.33  4.33  83 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 18 53 999 99.0 99.0  1.21  9.09  4.20  98 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 19 23 999 99.0 99.0  1.26  3.33  4.27 339 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 19 53 999 99.0 99.0  1.15  9.09  4.32  92 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 20 23 999 99.0 99.0  1.09  9.88  4.35  88 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 20 53 999 99.0 99.0  1.09  9.88  4.41  92 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 21 23 999 99.0 99.0  1.10  9.09  4.32  97 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 03 21 53 999 99.0 99.0  1.21  9.09  4.68  94 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 22 23 999 99.0 99.0  1.27  8.33  5.00  84 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 22 53 999 99.0 99.0  1.12  9.09  5.49  85 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 03 23 23 999 99.0 99.0  1.07  9.09  5.48  85 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 03 23 53 999 99.0 99.0  1.10  7.69  5.28  81 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 04 00 23 999 99.0 99.0  1.23  8.33  5.57  83 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 04 00 53 999 99.0 99.0  1.25  9.09  5.23  81 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 04 01 23 999 99.0 99.0  1.16  9.09  5.32  78 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 04 01 53 999 99.0 99.0  1.15  8.33  4.99  67 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 02 23 999 99.0 99.0  1.14  8.33  5.00  64 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 02 53 999 99.0 99.0  1.20  9.88  5.37  78 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 03 23 999 99.0 99.0  1.08  9.09  4.94  78 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 03 53 999 99.0 99.0  1.15 10.53  4.76  78 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 04 23 999 99.0 99.0  1.07  9.09  4.50  84 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 04 53 999 99.0 99.0  1.02  8.33  4.71  70 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 05 23 999 99.0 99.0  0.96 11.76  4.78  80 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 05 53 999 99.0 99.0  1.01 10.53  4.67  78 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 06 23 999 99.0 99.0  0.93 10.53  4.62  84 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 06 53 999 99.0 99.0  0.91 11.76  5.06  85 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 07 23 999 99.0 99.0  0.81 11.76  4.79  71 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 07 53 999 99.0 99.0  0.86 11.76  4.97  76 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 08 23 999 99.0 99.0  0.87 11.11  4.85  83 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 08 53 999 99.0 99.0  0.89  9.88  5.00  74 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 09 23 999 99.0 99.0  0.95 10.53  5.23  83 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 09 53 999 99.0 99.0  0.93  9.88  5.14  85 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 10 23 999 99.0 99.0  0.93  9.88  5.00  84 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 10 53 999 99.0 99.0  0.87 10.53  4.87  80 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 11 23 999 99.0 99.0  0.91  9.88  4.90  77 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 11 53 999 99.0 99.0  0.96 10.53  5.46  74 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 12 23 999 99.0 99.0  0.92 10.53  5.16  67 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 12 53 999 99.0 99.0  0.95 10.53  5.19  71 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 13 23 999 99.0 99.0  1.02 10.53  5.41  60 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 13 53 999 99.0 99.0  0.99  9.09  5.58  64 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 14 23 999 99.0 99.0  0.99  9.88  5.71  63 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 14 53 999 99.0 99.0  0.91 11.11  5.66  66 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 15 23 999 99.0 99.0  0.93 10.53  6.39  77 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 15 53 999 99.0 99.0  0.86 10.53  5.40  67 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 16 23 999 99.0 99.0  0.97 10.53  5.84  76 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 16 53 999 99.0 99.0  0.91 11.11  5.35  67 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 17 23 999 99.0 99.0  0.87 11.76  5.02  73 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 04 17 53 999 99.0 99.0  0.83 10.53  4.53  69 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 18 23 999 99.0 99.0  0.78 11.11  4.11  77 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 18 53 999 99.0 99.0  0.82 10.53  4.39  80 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 19 23 999 99.0 99.0  0.79 11.11  4.34  76 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 19 53 999 99.0 99.0  0.81  9.88  4.55  78 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 20 23 999 99.0 99.0  0.76 10.53  4.33  78 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 20 53 999 99.0 99.0  0.79 11.11  3.95  74 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 04 21 23 999 99.0 99.0  0.82 11.11  4.28  80 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 04 21 53 999 99.0 99.0  0.72 10.53  4.49  80 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 22 23 999 99.0 99.0  0.77 10.53  4.40  78 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 22 53 999 99.0 99.0  0.74  9.88  4.11  74 9999.0 999.0  16.2 999.0 99.0 99.00
2018 01 04 23 23 999 99.0 99.0  0.68 10.53  4.25  78 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 04 23 53 999 99.0 99.0  0.71 10.53  4.72  80 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 00 23 999 99.0 99.0  0.73 11.11  5.20  69 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 00 53 999 99.0 99.0  0.68  9.88  5.21  71 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 01 23 999 99.0 99.0  0.66  9.88  5.02  69 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 01 53 999 99.0 99.0  0.63 11.11  4.96  73 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 02 23 999 99.0 99.0  0.66  9.88  4.84  76 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 02 53 999 99.0 99.0  0.62 11.76  4.32  73 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 03 23 999 99.0 99.0  0.59 12.50  4.25  60 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 03 53 999 99.0 99.0  0.62  9.88  4.75  67 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 04 23 999 99.0 99.0  0.64  9.88  4.07  74 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 04 53 999 99.0 99.0  0.64 11.76  4.16  64 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 05 23 999 99.0 99.0  0.61  9.88  3.85  73 9999.0 999.0  16.1 999.0 99.0 99.00
2018 01 05 05 53 999 99.0 99.0  0.61 11.11  3.93  63 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 06 23 999 99.0 99.0  0.60  9.88  4.09  73 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 06 53 999 99.0 99.0  0.56 11.11  3.82  76 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 07 23 999 99.0 99.0  0.60 11.11  3.93  83 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 07 53 999 99.0 99.0  0.61 11.76  3.60  81 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 08 23 999 99.0 99.0  0.62 11.76  3.75  83 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 08 53 999 99.0 99.0  0.61 11.11  3.74  83 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 09 23 999 99.0 99.0  0.63  6.25  3.91  71 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 09 53 999 99.0 99.0  0.61  5.56  3.84  76 9999.0 999.0  16.0 999.0 99.0 99.00
2018 01 05 10 23 999 99.0 99.0  0.62  9.09  3.83  76 9999.0 999.0  15.9 999.0 99.0 99.00
2018 01 05 10 53 999 99.0 99.0  0.66  7.14  3.98  69 9999.0 999.0  15.9 999.0 99.0 99.00
2018 01 05 11 23 999 99.0 99.0  0.65 12.50  4.11  76 9999.0 999.0  15.9 999.0 99.0 99.00
2018 01 05 11 53 999 99.0 99.0  0.69  6.67  4.10  64 9999.0 999.0  15.9 999.0 99.0 99.00
2018 01 05 12 23 999 99.0 99.0  0.69 10.53  4.20  87 9999.0 999.0  15.9 999.0 99.0 99.00
2018 01 05 12 53 999 99.0 99.0  0.73  5.88  4.08  54 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 13 23 999 99.0 99.0  0.76 13.33  4.11  84 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 13 53 999 99.0 99.0  0.77 16.67  4.16  74 9999.0 999.0  15.7 999.0 99.0 99.00
2018 01 05 14 23 999 99.0 99.0  0.77  6.67  4.35  60 9999.0 999.0  15.7 999.0 99.0 99.00
2018 01 05 14 53 999 99.0 99.0  0.73 11.11  4.44  74 9999.0 999.0  15.7 999.0 99.0 99.00
2018 01 05 15 23 999 99.0 99.0  0.72  6.25  4.41  57 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 15 53 999 99.0 99.0  0.76 14.29  4.40  77 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 16 23 999 99.0 99.0  0.74 14.29  4.47  73 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 16 53 999 99.0 99.0  0.77 15.38  4.49  69 9999.0 999.0  15.8 999.0 99.0 99.00
2018 01 05 17 23 999 99.0 99.0  0.78 13.33  4.59  76 9999.0 999.0  15.7 999.0 99.0 99.00
2018 01 05 17 53 999 99.0 99.0  0.71 14.29  4.42  73 9999.0 999.0  15.8 999.0 99.0 99.00
